train_loss,val_loss,val_acc
1.3766438961029053,1.379794979095459,0.225
1.3281904697418212,1.3610211610794067,0.225
1.2865910291671754,1.3126719832420348,0.275
1.173618197441101,1.2485357642173767,0.325
1.0727947175502777,1.108723270893097,0.375
0.9720443487167358,0.9871060371398925,0.5
0.907406336069107,0.9686207413673401,0.575
0.9759598076343536,0.8843869686126709,0.625
0.897885650396347,0.9264127135276794,0.6
0.817847740650177,1.0417909264564513,0.5
0.8520317852497101,0.9757172346115113,0.55
0.8524125576019287,0.9474641799926757,0.5
0.8924140512943268,0.9063036561012268,0.625
0.8733183979988098,0.9795331239700318,0.5
0.8998740315437317,0.9090725660324097,0.625
0.8261802673339844,0.8470543146133422,0.65
0.8671416163444519,0.9129673719406128,0.675
0.8476844072341919,0.9719166398048401,0.6
0.8560982584953308,0.9395428895950317,0.675
0.7380077481269837,0.883258581161499,0.6
0.7237104058265686,0.8987643241882324,0.625
0.7459484755992889,0.790643835067749,0.75
0.706542044878006,0.7731994092464447,0.7
0.7689026832580567,0.70495103597641,0.775
0.6864517807960511,0.8278837203979492,0.6
0.7369506895542145,0.8095873713493347,0.775
0.6911261230707169,0.7961134672164917,0.725
0.6587213039398193,0.7427462995052337,0.675
0.6830493003129959,0.7831737041473389,0.725
0.6797209203243255,0.8094534873962402,0.675
0.6555905401706695,0.7382730126380921,0.775
0.6230214089155197,0.6845465302467346,0.8
0.7005260646343231,0.6352044820785523,0.825
0.692768657207489,0.762598580121994,0.8
0.691490250825882,0.7914483070373535,0.775
0.6578623920679092,0.8053740978240966,0.65
0.6667590200901031,0.7004103183746337,0.8
0.6882913798093796,0.7362275004386902,0.725
0.6821483999490738,0.6656055092811585,0.8
0.6409481763839722,0.6260979413986206,0.825
0.5942770063877105,0.7229974389076232,0.725
0.5780525654554367,0.6532746195793152,0.875
0.6075736314058304,0.6517741084098816,0.875
0.5516889899969101,0.6421643614768981,0.85
0.5798447161912919,0.5856543838977813,0.925
0.6321852296590805,0.66681067943573,0.8
0.6258518159389496,0.7361358404159546,0.725
0.6219638824462891,0.6136063396930694,0.875
0.6140469491481781,0.6725292325019836,0.775
0.5836626499891281,0.6588270187377929,0.85
0.5962804347276688,0.6003047823905945,0.875
0.5823581784963607,0.6469892501831055,0.8
0.5329578995704651,0.6420794725418091,0.8
0.5593862146139145,0.5874634623527527,0.925
0.5693186700344086,0.6383587479591369,0.85
0.6101432353258133,0.6682286024093628,0.725
0.5750645339488983,0.6749688386917114,0.825
